ep,min,max,avg
0.000000, 52.740000, 52.740000, 5.274000,
10.000000, 0.000000, 33.650000, 12.051100,
20.000000, 0.000000, 35.223000, 13.192800,
30.000000, 0.000000, 30.075000, 8.461500,
40.000000, 0.000000, 23.700000, 9.977100,
50.000000, 2.000000, 38.724000, 15.330400,
60.000000, 0.000000, 23.649000, 10.772200,
70.000000, 2.000000, 40.414000, 15.508600,
80.000000, 2.900000, 45.904000, 19.599500,
90.000000, 0.000000, 30.250000, 14.625200,
100.000000, 0.000000, 25.400000, 10.429800,
110.000000, 0.000000, 32.990000, 11.525900,
120.000000, 0.000000, 30.340000, 12.916000,
130.000000, 0.000000, 36.915000, 13.061100,
140.000000, 3.800000, 19.165000, 11.239100,
150.000000, 0.000000, 21.339000, 10.382400,
160.000000, 1.800000, 21.600000, 9.694900,
170.000000, 0.000000, 28.725000, 7.398000,
180.000000, 1.800000, 56.124000, 9.833800,
190.000000, 1.800000, 31.650000, 14.406000,
200.000000, 0.000000, 19.064000, 7.536900,
210.000000, 0.000000, 44.540000, 14.951800,
220.000000, 0.900000, 29.949000, 11.891200,
230.000000, 0.000000, 41.269000, 18.575600,
240.000000, 0.000000, 35.614000, 12.310800,
250.000000, 0.000000, 21.939000, 8.942100,
260.000000, 0.000000, 34.290000, 9.049700,
270.000000, 5.220000, 43.098000, 18.592900,
280.000000, 2.585000, 40.014000, 16.430000,
290.000000, 0.000000, 33.113000, 11.448600,
300.000000, 4.500000, 22.589000, 12.262000,
310.000000, 1.800000, 63.924000, 18.060000,
320.000000, 2.774000, 34.875000, 17.799000,
330.000000, 0.000000, 18.974000, 9.883400,
340.000000, 2.700000, 30.555000, 12.767000,
350.000000, 0.000000, 16.769000, 5.534900,
360.000000, 1.350000, 57.730000, 19.449800,
370.000000, 0.000000, 56.530000, 14.769300,
380.000000, 0.000000, 34.514000, 11.567300,
390.000000, 4.374000, 105.975000, 33.121100,
400.000000, 0.000000, 37.230000, 11.661700,
410.000000, 4.500000, 20.549000, 10.318300,
420.000000, 0.000000, 71.685000, 10.990400,
430.000000, 1.800000, 69.750000, 27.902300,
440.000000, 0.000000, 120.388000, 29.849000,
450.000000, 0.000000, 32.490000, 10.221600,
460.000000, 0.000000, 41.613000, 13.823200,
470.000000, 0.900000, 46.149000, 13.617600,
480.000000, 3.690000, 41.595000, 14.173000,
490.000000, 0.900000, 28.629000, 10.779800,
500.000000, 0.000000, 33.075000, 10.441700,
510.000000, 0.000000, 88.875000, 19.939700,
520.000000, 0.675000, 30.375000, 12.455700,
530.000000, 0.000000, 137.065000, 19.941800,
540.000000, 0.900000, 62.995000, 20.172800,
550.000000, 1.800000, 31.639000, 11.749200,
560.000000, 0.900000, 97.899000, 20.086500,
570.000000, 0.000000, 27.969000, 9.921800,
580.000000, 0.900000, 38.785000, 15.732100,
590.000000, 0.900000, 25.724000, 8.274700,
600.000000, 0.000000, 72.814000, 16.942700,
610.000000, 2.000000, 28.890000, 10.186700,
620.000000, 2.000000, 28.304000, 12.693400,
630.000000, 2.000000, 55.059000, 18.533100,
640.000000, 0.000000, 39.273000, 18.626400,
650.000000, 1.485000, 186.214000, 32.177700,
660.000000, 1.800000, 48.075000, 12.140300,
670.000000, 1.800000, 40.875000, 12.827600,
680.000000, 0.900000, 45.675000, 11.191200,
690.000000, 2.000000, 34.575000, 14.131200,
700.000000, 1.575000, 171.243000, 34.809500,
710.000000, 1.750000, 42.075000, 13.847400,
720.000000, 2.000000, 65.340000, 19.192700,
730.000000, 0.000000, 84.339000, 20.613100,
740.000000, 3.674000, 30.723000, 15.241200,
750.000000, 1.575000, 46.624000, 19.095900,
760.000000, 2.000000, 58.850000, 15.500900,
770.000000, 2.900000, 80.959000, 25.317400,
780.000000, 0.000000, 63.675000, 14.208900,
790.000000, 0.000000, 51.300000, 19.872100,
800.000000, 0.000000, 184.414000, 29.237900,
810.000000, 0.000000, 64.514000, 20.183100,
820.000000, 0.000000, 28.224000, 9.695200,
830.000000, 0.675000, 22.549000, 10.772500,
840.000000, 1.800000, 45.004000, 14.490200,
850.000000, 1.800000, 35.149000, 11.628000,
860.000000, 0.900000, 98.799000, 18.305900,
870.000000, 0.000000, 26.300000, 9.931600,
880.000000, 0.000000, 101.589000, 15.906800,
890.000000, 3.764000, 35.304000, 16.501000,
900.000000, 0.000000, 43.289000, 15.219800,
910.000000, 2.000000, 33.288000, 12.540800,
920.000000, 0.774000, 64.714000, 23.687800,
930.000000, 0.000000, 26.750000, 7.661600,
940.000000, 1.800000, 29.940000, 9.796200,
950.000000, 2.900000, 88.375000, 21.371500,
960.000000, 1.800000, 54.339000, 16.234500,
970.000000, 2.900000, 89.970000, 35.818100,
980.000000, 2.900000, 27.054000, 14.838900,
990.000000, 0.000000, 18.954000, 8.968200,
